,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
24,A-,0.8775,2,0.638888889,0,0.833333333,0.837837838,0.711538462,0.447368421,0.804347826,0.666666667,1,0.94,0.96,0.375,0.82,0.9,0.76,0.888888889,1,1,0.888888889,0.777777778,0.944444444,2,2,1,94,47,80,Civil I,9,A-
25,F,0,0,0.361111111,1,0.333333333,0.27027027,0.480769231,0.131578947,0.608695652,1,0.666666667,0.5,0.72,0.791666667,0.7,0.9,0.76,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
26,F,0,0,0.6,0,0.611111111,0.27027027,0.480769231,0.526315789,0.836956522,1,0.666666667,0.88,0.84,0.75,0.8,0.92,0.8,0.611111111,0.722222222,0,0.777777778,0.777777778,0.722222222,0,0,0,88,44,0,Civil I,0,F
27,F,0,0,0.683333333,0,0.388888889,0.540540541,0.461538462,0.5,0.326086957,0,1,0.76,0.78,0.583333333,0.86,0.98,0.82,0.777777778,0.833333333,0,1,0.833333333,0.888888889,0,0,0,76,38,0,Civil I,0,F
28,F,0,0,0.666666667,1,0.777777778,0.621621622,0.826923077,0.263157895,0.717391304,1,0.666666667,0.68,0.76,0.666666667,0.72,0.92,0.8,0.722222222,0.777777778,0,1,0,0,0,0,0,68,34,0,Civil I,0,F
29,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.7,0.72,0.625,0.64,0.88,0.64,0,0.722222222,0,0.944444444,0,0,0,0,0,70,35,0,Civil I,0,F
30,F,0,0,0.75,0,0.805555556,0.459459459,0.769230769,0.473684211,0.739130435,1,0.666666667,0.7,0.72,0.791666667,0.64,0.92,0.7,0,0,0,0.944444444,0,0,0,0,0,70,35,0,Civil I,0,F
31,F,0,0,0.333333333,1,0.555555556,0.27027027,0.480769231,0.263157895,0,1,0.666666667,0.8,0.78,0.666666667,0.74,0.82,0.84,0,0.833333333,0.666666667,0.944444444,0.777777778,0,0,0,0,80,40,0,Civil I,0,F
32,F,0,0,0.729166667,1,0.722222222,0.810810811,0.576923077,0.657894737,0.891304348,1,0.666666667,0.76,0.72,0.875,0.7,0.9,0.88,0,0.722222222,0,1,0.944444444,0.666666667,0,0,0,76,38,0,Civil I,0,F
33,F,0,0,0.819444444,0,0.777777778,0.594594595,0.788461538,0.631578947,0.934782609,0,1,0.8,0.72,0.666666667,0.66,0.86,0.72,0,0.722222222,0.666666667,0.888888889,0,0,0,0,0,80,40,0,Civil I,0,F
34,F,0,0,0.669444444,0,0.944444444,0.810810811,0.826923077,0.552631579,0,0,1,0.88,0.8,0.666666667,0.74,0.84,0.8,0.833333333,0.833333333,0,0.888888889,0.833333333,0.944444444,0,0,0,88,44,0,Civil I,0,F
35,F,0,0,0.75,0,0.444444444,0.027027027,0.442307692,0.157894737,0,1,0.666666667,0.64,0.8,0.833333333,0.78,0.72,0.92,0,0.833333333,0.777777778,0,0.833333333,0,0,0,0,64,32,0,Civil I,0,F
36,F,0,0,0.736111111,0,0.361111111,0.27027027,0.365384615,0,0.543478261,0.666666667,1,0.78,0.66,0.75,0.68,0.8,0.64,0,0,0,0,0,0.666666667,0,0,0,78,39,0,Civil I,0,F
37,F,0,0,0.75,0,0.888888889,0.810810811,0.769230769,0.605263158,0,1,0.666666667,0.5,0.66,0.666666667,0.7,0.96,0.64,0,0,0,1,0,0.666666667,0,0,0,50,25,0,Civil I,0,F
38,F,0,0,0.840277778,0,0.472222222,0.27027027,0.480769231,0.263157895,0.652173913,0,0.666666667,0.5,0.6,0.541666667,0.76,0.82,0.8,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
39,F,0,0,0.819444444,0,0.777777778,0.72972973,0.673076923,0.526315789,0.782608696,0.666666667,0.666666667,0.7,0.64,0.791666667,0.7,0.9,0.64,0,0,0,0.777777778,0,0,0,0,0,70,35,0,Civil I,0,F
40,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.5,0.64,0.583333333,0.66,0.76,0.76,0.666666667,0.666666667,0,0,0.777777778,0,0,0,0,50,25,0,Civil I,0,F
41,F,0,0,0.722222222,0,0.527777778,0.135135135,0.480769231,0.763157895,0.815217391,0,1,0.9,0.8,0.708333333,0.76,0.78,0.76,0.722222222,0.888888889,0,0.666666667,0.722222222,0.722222222,0,0,0,90,45,0,Civil I,0,F
42,F,0,0,0.629722222,1,0.916666667,0.945945946,0.923076923,0.973684211,0.836956522,0.666666667,1,0.5,0.6,0.666666667,0.7,0.74,0.64,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
43,F,0,0,0.713888889,1,0.944444444,0.891891892,0.903846154,0.552631579,0.891304348,1,0.666666667,0.5,0.6,0.541666667,0.7,0.9,0.64,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
44,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.98,0.7,0.875,0.78,0.9,0.88,0.944444444,0.888888889,0,0,0.888888889,0.722222222,0,0,0,98,49,0,Civil I,0,F
