,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
106,A,0.93,1,0.8125,0,0.416666667,0.054054054,0.673076923,0.184210526,0.793478261,1,1,0.66,0.92,0.916666667,0.96,0.96,0.98,0.944444444,1,1,1,1,1,1,1,1,66,33,85,Civil V,10,A
107,A-,0.92,2,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.96,0.8,0.541666667,0.64,0.68,0.74,0,0,0,0,0,1,2,2,1,96,48,80,Civil V,9,A-
108,A-,0.92,2,0.583333333,1,0.777777778,0.135135135,0.769230769,0.184210526,0.815217391,1,1,0.64,0.76,0.791666667,0.8,0.84,0.88,0.888888889,0.888888889,0.944444444,0.833333333,0.722222222,1,2,2,1,64,32,80,Civil V,9,A-
109,A-,0.915,2,0.111111111,1,0.444444444,0.27027027,0.576923077,0.184210526,0.630434783,0,0.666666667,0.8,0.8,0.791666667,0.78,0.88,0.9,0,0.777777778,0.777777778,0.833333333,0.944444444,1,2,2,1,80,40,80,Civil V,9,A-
110,A-,0.905,2,0.972222222,0,0.944444444,0.810810811,0.826923077,0.657894737,0.869565217,0.666666667,1,0.78,0.92,0.625,0.88,0.94,0.94,0.888888889,1,1,1,1,1,2,2,1,78,39,80,Civil V,9,A-
111,A-,0.9025,2,0.822222222,0,0.75,0.540540541,0.557692308,0.552631579,0.793478261,1,1,0.88,0.92,0.833333333,1,0.96,0.94,0.944444444,1,1,1,1,1,2,2,1,88,44,80,Civil V,9,A-
112,A-,0.89,2,0.638888889,0,0.833333333,0.837837838,0.711538462,0.447368421,0.804347826,0.666666667,1,1,0.78,0.708333333,0.7,0.8,0.8,0.722222222,0.722222222,0.777777778,0.722222222,0.777777778,1,2,2,1,100,50,80,Civil V,9,A-
113,A-,0.885,2,0.361111111,1,0.333333333,0.27027027,0.480769231,0.131578947,0.608695652,1,0.666666667,0.7,0.86,0.583333333,0.82,0.8,0.8,0.888888889,1,1,1,0.944444444,1,2,2,1,70,35,80,Civil V,9,A-
114,A-,0.88,2,0.6,0,0.611111111,0.27027027,0.480769231,0.526315789,0.836956522,1,0.666666667,0.82,0.92,0.583333333,0.76,0.82,0.9,0.833333333,0.944444444,0.722222222,0.944444444,0.777777778,1,2,2,1,82,41,80,Civil V,9,A-
115,A-,0.87,2,0.683333333,0,0.388888889,0.540540541,0.461538462,0.5,0.326086957,0,1,0.76,0.7,0.333333333,0.58,0.8,0.76,0.722222222,0,0.611111111,0.777777778,0.777777778,1,2,2,1,76,38,80,Civil V,9,A-
116,A-,0.855,2,0.666666667,1,0.777777778,0.621621622,0.826923077,0.263157895,0.717391304,1,0.666666667,0.58,0.68,0.5,0.68,0.78,0.7,0.722222222,0.666666667,0.777777778,0.833333333,0.722222222,1,2,2,1,58,29,80,Civil V,9,A-
117,A-,0.8525,2,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.68,0.54,0.333333333,0.56,0.72,0.78,0,0,0,0,0,0.888888889,2,2,1,68,34,80,Civil V,9,A-
118,A-,0.835,2,0.75,0,0.805555556,0.459459459,0.769230769,0.473684211,0.739130435,1,0.666666667,0.56,0.7,0.291666667,0.6,0.78,0.82,0,0,0,0,0.777777778,0.944444444,2,2,1,56,28,80,Civil V,9,A-
119,A-,0.835,2,0.333333333,1,0.555555556,0.27027027,0.480769231,0.263157895,0,1,0.666666667,0.6,0.86,0.791666667,0.8,0.8,0.92,0.722222222,0,0,0.777777778,0.777777778,1,2,2,1,60,30,80,Civil V,9,A-
120,B+,0.8075,3,0.729166667,1,0.722222222,0.810810811,0.576923077,0.657894737,0.891304348,1,0.666666667,0.8,0.9,0.75,0.98,0.98,0.96,0.944444444,0.944444444,1,1,0.944444444,1,3,3,1,80,40,75,Civil V,8,B+
121,B+,0.8025,3,0.819444444,0,0.777777778,0.594594595,0.788461538,0.631578947,0.934782609,0,1,0.98,0.94,0.666666667,0.9,0.86,0.94,0.833333333,1,1,1,0.888888889,1,3,3,1,98,49,75,Civil V,8,B+
122,B+,0.7975,3,0.669444444,0,0.944444444,0.810810811,0.826923077,0.552631579,0,0,1,0.9,0.92,0.916666667,0.9,0.9,0.8,0.888888889,1,1,1,0.944444444,1,3,3,1,90,45,75,Civil V,8,B+
123,B+,0.795,3,0.75,0,0.444444444,0.027027027,0.442307692,0.157894737,0,1,0.666666667,0.9,0.86,0.541666667,0.82,0.84,0.94,0,0.944444444,0,0.777777778,0.777777778,1,3,3,1,90,45,75,Civil V,8,B+
124,B+,0.795,3,0.736111111,0,0.361111111,0.27027027,0.365384615,0,0.543478261,0.666666667,1,0.82,0.86,0.291666667,0.6,0.78,0.8,0,0,0,0,0,1,3,3,1,82,41,75,Civil V,8,B+
125,B+,0.7775,3,0.75,0,0.888888889,0.810810811,0.769230769,0.605263158,0,1,0.666666667,0.6,0.9,0.916666667,0.96,0.9,0.98,0.833333333,0.944444444,0.944444444,0.888888889,0.888888889,0.944444444,3,3,1,60,30,75,Civil V,8,B+
126,B+,0.765,3,0.840277778,0,0.472222222,0.27027027,0.480769231,0.263157895,0.652173913,0,0.666666667,0.96,0.7,0.583333333,0.7,0.8,0.8,0.666666667,0.555555556,0.611111111,0.833333333,0.833333333,1,3,3,1,96,48,75,Civil V,8,B+
127,B+,0.76,3,0.819444444,0,0.777777778,0.72972973,0.673076923,0.526315789,0.782608696,0.666666667,0.666666667,0.7,0.9,0.916666667,0.86,0.94,0.88,0.944444444,1,0.944444444,0.888888889,0.833333333,1,3,3,1,70,35,75,Civil V,8,B+
128,B+,0.7525,3,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.86,0.78,0.583333333,0.76,0.8,0.8,0.833333333,0.722222222,0.666666667,0,0.888888889,1,3,3,1,86,43,75,Civil V,8,B+
129,B,0.75,4,0.722222222,0,0.527777778,0.135135135,0.480769231,0.763157895,0.815217391,0,1,0.76,0.86,0.916666667,0.84,0.86,0.86,0.777777778,0.888888889,0.944444444,0.944444444,0.944444444,1,4,4,1,76,38,75,Civil V,7,B
130,B,0.7475,4,0.629722222,1,0.916666667,0.945945946,0.923076923,0.973684211,0.836956522,0.666666667,1,0.84,0.86,0.791666667,0.96,0.98,0.96,1,0.944444444,1,1,1,1,4,4,1,84,42,70,Civil V,7,B
131,B,0.7225,4,0.713888889,1,0.944444444,0.891891892,0.903846154,0.552631579,0.891304348,1,0.666666667,0.96,0.92,0.916666667,0.96,0.96,0.96,1,1,1,1,1,1,4,4,1,96,48,70,Civil V,7,B
132,B,0.71,4,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.96,0.76,0.333333333,0.66,0.74,0.8,0.722222222,0.833333333,0,0,0.777777778,1,4,4,1,96,48,70,Civil V,7,B
133,B-,0.6625,5,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.66,0.88,0.75,0.84,0.88,0.88,0.833333333,0.777777778,0.944444444,0.722222222,0.777777778,1,5,5,1,66,33,65,Civil V,6,B-
134,B-,0.6475,5,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.84,0.58,0.416666667,0.46,0.7,0.76,0,0,0,0,0.611111111,0.944444444,5,5,1,84,42,65,Civil V,6,B-
135,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.46,0.68,0.333333333,0.82,0.74,0.88,0.777777778,0,0.888888889,0,0.888888889,1,0,0,0,46,23,0,Civil V,0,F
136,F,0,0,0.333333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.82,0.9,0.666666667,0.84,0.8,0.9,0.833333333,1,0.777777778,0.777777778,0.888888889,1,0,0,0,82,41,0,Civil V,0,F
137,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.84,0.68,0.875,0.86,0.98,0.92,0,0,0.833333333,0.944444444,0.777777778,1,0,0,0,84,42,0,Civil V,0,F
138,F,0,0,0.305555556,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.86,0.68,0.583333333,0.74,0.74,0.88,0,0,0.722222222,0,0.833333333,1,0,0,0,86,43,0,Civil V,0,F
139,F,0,0,0.416666667,0,0.583333333,0.135135135,0,0.105263158,0.913043478,1,0.666666667,0.74,0.88,0.666666667,0.8,0.86,0.92,0.777777778,0.888888889,1,0.944444444,0.944444444,1,0,0,0,74,37,0,Civil V,0,F
140,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.8,0.72,0.333333333,0.46,0.72,0.76,0,0,0,0,0,1,0,0,0,80,40,0,Civil V,0,F
141,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.46,0.86,0.5,0.68,0.76,0.88,0.777777778,1,0.666666667,0.777777778,0.888888889,1,0,0,0,46,23,0,Civil V,0,F
142,F,0,0,0.883333333,0,0.888888889,0.675675676,0.923076923,0.657894737,0.891304348,1,0.666666667,0.68,0.86,0.708333333,0.86,0.88,0.88,0.777777778,0.944444444,0.833333333,0.944444444,0.944444444,1,0,0,0,68,34,0,Civil V,0,F
143,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.86,0.86,0.75,0.68,0.82,0.9,0.722222222,0.888888889,0,0.777777778,0.833333333,1,0,0,0,86,43,0,Civil V,0,F
144,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.68,0.9,0.875,0.76,0.92,0.92,0.944444444,0.944444444,1,0.888888889,0.944444444,1,0,0,0,68,34,0,Civil V,0,F
145,F,0,0,0.855555556,0,0.888888889,0.675675676,0.923076923,0.657894737,0.891304348,1,0.666666667,0.76,0.92,0.791666667,0.84,0.96,0.94,1,1,0.944444444,1,1,1,0,0,0,76,38,0,Civil V,0,F
146,F,0,0,0.883333333,0,0.888888889,0.675675676,0.923076923,0.657894737,0.891304348,1,0.666666667,0.84,0.78,0.541666667,0.76,0.8,0.9,0.888888889,0,0,0.777777778,0.833333333,1,0,0,0,84,42,0,Civil V,0,F
147,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.76,0.86,0.833333333,0.8,0.82,0.9,0.833333333,0.944444444,0.833333333,0.888888889,0.944444444,1,0,0,0,76,38,0,Civil V,0,F
148,F,0,0,0.5,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.8,0.68,0.625,0.82,0.84,0.9,0.833333333,0,0,0,0.722222222,1,0,0,0,80,40,0,Civil V,0,F
149,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.82,0.94,0.916666667,0.84,0.94,0.94,0.888888889,1,0.888888889,1,1,1,0,0,0,82,41,0,Civil V,0,F
150,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.84,0.86,0.791666667,0.78,0.92,0.92,0.777777778,0,0,0.888888889,0.833333333,1,0,0,0,84,42,0,Civil V,0,F
151,F,0,0,0.883333333,0,0.888888889,0.675675676,0.923076923,0.657894737,0.891304348,1,0.666666667,0.78,0.94,0.916666667,0.96,0.96,0.98,1,1,1,1,1,1,0,0,0,78,39,0,Civil V,0,F
152,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.96,0.88,0.916666667,0.96,0.96,0.96,0.888888889,0.888888889,0.944444444,1,1,1,0,0,0,96,48,0,Civil V,0,F
153,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.96,0.88,0.75,0.8,0.94,0.92,0.777777778,0.944444444,0.833333333,1,0.833333333,1,0,0,0,96,48,0,Civil V,0,F
154,F,0,0,0.408333333,0,0.583333333,0.567567568,0.211538462,0.526315789,0.760869565,0,0,0.8,0.9,0.791666667,0.98,0.88,0.94,0.777777778,0.944444444,1,0.888888889,1,1,0,0,0,80,40,0,Civil V,0,F
155,F,0,0,0.408333333,0,0.583333333,0.567567568,0.211538462,0.526315789,0.760869565,0,0,0.98,0.62,0.625,0.68,0.78,0.86,0.833333333,0.611111111,0.666666667,0.777777778,0.888888889,1,0,0,0,98,49,0,Civil V,0,F
156,F,0,0,0.947222222,0,0.833333333,0.72972973,0.692307692,0.657894737,0.869565217,0.666666667,0.666666667,0.68,0.68,0.583333333,0.46,0.8,0.66,0.666666667,0,0.555555556,0.833333333,0.777777778,1,0,0,0,68,34,0,Civil V,0,F
157,F,0,0,0.408333333,0,0.583333333,0.567567568,0.211538462,0.526315789,0.760869565,0,0,0.46,0.7,0.583333333,0.66,0.72,0.82,0.833333333,0,0.722222222,0.833333333,0.666666667,1,0,0,0,46,23,0,Civil V,0,F
158,F,0,0,0.805555556,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.66,0.76,0.791666667,0.6,0.8,0.88,0.833333333,0.722222222,0.611111111,0.833333333,0.944444444,1,0,0,0,66,33,0,Civil V,0,F
159,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.6,0.88,0.833333333,0.92,0.96,0.96,0.888888889,0.944444444,1,1,0.944444444,1,0,0,0,60,30,0,Civil V,0,F
160,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.92,0.88,0.833333333,0.86,0.96,0.94,0.888888889,1,0,1,0.944444444,1,0,0,0,92,46,0,Civil V,0,F
161,F,0,0,0.333333333,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.86,0.86,0.5,0.88,0.8,0.92,0.833333333,1,1,0.944444444,0.777777778,1,0,0,0,86,43,0,Civil V,0,F
162,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.88,0.9,0.666666667,0.84,0.9,0.9,0.722222222,1,0.833333333,0.944444444,0.888888889,1,0,0,0,88,44,0,Civil V,0,F
163,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.84,0.9,0.5,0.66,0.74,0.88,0.833333333,0.888888889,0,0.833333333,0.777777778,0.944444444,0,0,0,84,42,0,Civil V,0,F
164,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.66,0.72,0.5,0.62,0.78,0.86,0.777777778,0,0,0.888888889,0.833333333,0.944444444,0,0,0,66,33,0,Civil V,0,F
165,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.62,0.76,0.541666667,0.66,0.82,0.88,0.833333333,0.722222222,0.666666667,0.888888889,0,1,0,0,0,62,31,0,Civil V,0,F
166,F,0,0,0.722222222,0,0.833333333,0.891891892,0.75,0.578947368,0.847826087,0,0.666666667,0.66,0.74,0.541666667,0.72,0.72,0.88,0,0.666666667,0,0.722222222,0,1,0,0,0,66,33,0,Civil V,0,F
167,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.72,0.68,0.625,0.84,0.72,0.9,0,0,0,0,0,1,0,0,0,72,36,0,Civil V,0,F
168,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.84,0.7,0.458333333,0.46,0.74,0.76,0.666666667,0.666666667,0,0,0.777777778,1,0,0,0,84,42,0,Civil V,0,F
169,F,0,0,0.722222222,0,0.833333333,0.891891892,0.75,0.578947368,0.847826087,0,0.666666667,0.46,0.92,0.791666667,0.92,0.96,0.94,0.888888889,0.944444444,1,1,1,1,0,0,0,46,23,0,Civil V,0,F
170,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.92,0.74,0.666666667,0.7,0.8,0.9,0.833333333,0.777777778,0.722222222,0.833333333,0.944444444,1,0,0,0,92,46,0,Civil V,0,F
171,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.7,0.64,0.375,0.56,0.72,0.82,0,0,0,0,0,1,0,0,0,70,35,0,Civil V,0,F
172,F,0,0,0.333333333,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.56,0.86,0.666666667,0.8,0.88,0.88,0,0.722222222,0,0.888888889,0,1,0,0,0,56,28,0,Civil V,0,F
173,F,0,0,0.805555556,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.8,0.86,0.916666667,0.86,0.96,0.94,0.944444444,1,0.944444444,1,0.944444444,1,0,0,0,80,40,0,Civil V,0,F
174,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.86,0.72,0.666666667,0.76,0.78,0.9,0.777777778,0.833333333,0,0.944444444,0.722222222,1,0,0,0,86,43,0,Civil V,0,F
175,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.76,0.88,0.583333333,0.8,0.8,0.8,0.722222222,1,0.888888889,0.888888889,0.777777778,1,0,0,0,76,38,0,Civil V,0,F
176,F,0,0,0.833333333,0,0.777777778,0.540540541,0.769230769,0.394736842,0.782608696,0,0.666666667,0.8,0.84,0.75,0.88,0.86,0.92,0.888888889,0.722222222,0.833333333,0.833333333,0.777777778,1,0,0,0,80,40,0,Civil V,0,F
177,F,0,0,0.305555556,1,0.305555556,0,0.442307692,0,0.586956522,0,1,0.88,0.66,0.708333333,0.66,0.74,0.86,0.722222222,0,0,0.722222222,0.722222222,1,0,0,0,88,44,0,Civil V,0,F
178,F,0,0,0.883333333,0,0.888888889,0.675675676,0.923076923,0.657894737,0.891304348,1,0.666666667,0.66,0.78,0.666666667,0.82,0.72,0.84,0,0,0,0.722222222,0.777777778,1,0,0,0,66,33,0,Civil V,0,F
179,F,0,0,0.680555556,0,0.527777778,0.27027027,0.480769231,0.342105263,0.717391304,1,0.666666667,0.82,0.7,0.541666667,0.76,0.76,0.8,0.777777778,0.777777778,0.833333333,0.888888889,0.944444444,1,0,0,0,82,41,0,Civil V,0,F
180,F,0,0,0.883333333,0,0.888888889,0.675675676,0.923076923,0.657894737,0.891304348,1,0.666666667,0.76,0.4,0.458333333,0.76,0.72,0.82,0.722222222,0.777777778,0.777777778,0.722222222,0.777777778,0.944444444,0,0,0,76,38,0,Civil V,0,F
181,B,0.72,4,0.694444444,0,0.888888889,0.405405405,0.384615385,0.394736842,0.815217391,1,0.666666667,0.94,0.78,0.583333333,0.82,0.5,0.4,0.833333333,0.777777778,0.722222222,0.888888889,0.777777778,0.888888889,4,4,1,94,47,70,Civil VII,7,B
182,B,0.75,4,0.395833333,0,0.583333333,0.243243243,0.211538462,0.342105263,0.663043478,1,0.666666667,0.86,0.74,0.75,0.82,0.44,0.36,0.944444444,0.722222222,0.666666667,0.944444444,0.722222222,1,4,4,1,86,43,75,Civil VII,7,B
183,B+,0.7925,3,0.611111111,1,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,0.666666667,0.666666667,0.86,0.74,0.708333333,0.74,0.34,0.4,0.944444444,0.666666667,0.833333333,0.833333333,0.888888889,1,3,3,1,86,43,75,Civil VII,8,B+
184,B-,0.6125,5,0.316111111,1,0.472222222,0.486486486,0.576923077,0.526315789,0.913043478,0.666666667,1,0.72,0.72,0.625,0.72,0.52,0.36,0.777777778,0.722222222,0.777777778,0.611111111,0.666666667,0,5,5,1,72,36,65,Civil VII,6,B-
185,A,0.945,1,0.857777778,0,0.694444444,0.72972973,0.769230769,0.868421053,0.869565217,0.666666667,1,0.72,0.7,0.916666667,0.98,0.42,0.4,1,0.944444444,0.833333333,1,1,0,1,1,1,72,36,85,Civil VII,10,A
186,A-,0.8925,2,0.811111111,0,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.74,0.86,0.833333333,0.84,0.52,0.36,0.944444444,0.833333333,0.944444444,1,0.888888889,0.944444444,2,2,1,74,37,80,Civil VII,9,A-
187,B+,0.78,3,0.416666667,1,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.7,0.84,0.833333333,0.9,0.48,0.38,0.944444444,0.777777778,0.833333333,0.833333333,0.833333333,0.888888889,3,3,1,70,35,75,Civil VII,8,B+
188,A-,0.88,2,0.816666667,0,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.78,0.78,0.791666667,0.92,0.48,0.4,0.944444444,0.888888889,0.777777778,0.944444444,0.944444444,1,2,2,1,78,39,80,Civil VII,9,A-
189,B+,0.8,3,0.416666667,1,0.194444444,0.594594595,0.519230769,0.789473684,0.793478261,1,0.666666667,0.96,0.94,0.75,0.84,0.56,0.36,0.888888889,0.888888889,0.722222222,0.888888889,0.888888889,0.944444444,3,3,1,96,48,75,Civil VII,8,B+
190,A-,0.8325,2,0.791666667,0,0.694444444,0.243243243,0.211538462,0.342105263,0.663043478,1,0.666666667,0.96,0.86,0.666666667,0.84,0.42,0.38,0.888888889,0.944444444,0.722222222,0.944444444,0.888888889,0,2,2,1,96,48,80,Civil VII,9,A-
191,A-,0.875,2,0.572222222,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,0,0.666666667,0.88,0.86,0.75,0.9,0.56,0.36,0.888888889,0.833333333,0.944444444,0.944444444,0.888888889,1,2,2,1,88,44,80,Civil VII,9,A-
192,C+,0.5675,6,0.666666667,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,0,0.666666667,0.64,0.72,0.583333333,0.8,0.4,0.4,0.666666667,0.722222222,0.666666667,0.611111111,0.722222222,0,6,6,1,64,32,60,Civil VII,5,C+
193,A-,0.83,2,0.861111111,0,0.833333333,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.66,0.72,0.833333333,0.92,0.5,0.4,0.888888889,0.888888889,0.722222222,0.833333333,1,1,2,2,1,66,33,80,Civil VII,9,A-
194,A-,0.85,2,0.611111111,1,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,0.666666667,0.666666667,0.8,0.74,0.875,0.9,0.56,0.36,1,0.777777778,0.833333333,0.833333333,0.944444444,1,2,2,1,80,40,80,Civil VII,9,A-
195,A,0.9325,1,0.705,0,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,0.666666667,0.666666667,0.8,0.84,0.791666667,0.92,0.52,0.38,0.944444444,0.833333333,0.944444444,1,1,0,1,1,1,80,40,85,Civil VII,10,A
196,B-,0.655,5,0.769444444,1,0.5,0.702702703,0.865384615,1,1,0.666666667,1,0.82,0.74,0.666666667,0.9,0.4,0.4,0.777777778,0.777777778,0.666666667,0.777777778,0.722222222,0.888888889,5,5,1,82,41,65,Civil VII,6,B-
197,B-,0.6175,5,0.350833333,0,0.861111111,0.621621622,0.769230769,0.447368421,0.923913043,0,0.666666667,0.8,0.84,0.583333333,0.9,0.46,0.38,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0,5,5,1,80,40,65,Civil VII,6,B-
198,B+,0.7875,3,0.316111111,1,0.472222222,0.486486486,0.576923077,0.526315789,0.913043478,0.666666667,1,0.86,0.82,0.708333333,0.96,0.5,0.4,0.888888889,0.944444444,0.722222222,0.888888889,0.833333333,0,3,3,1,86,43,75,Civil VII,8,B+
199,A-,0.83,2,0.819444444,1,0.611111111,0.567567568,0.673076923,0.921052632,0.760869565,1,1,0.76,0.72,0.625,0.92,0.5,0.36,0.833333333,0.888888889,0.888888889,0.888888889,0.888888889,0.944444444,2,2,1,76,38,80,Civil VII,9,A-
200,B+,0.7625,3,0.747222222,0,0.777777778,0.513513514,0.596153846,0.605263158,0.760869565,1,1,0.8,0.74,0.833333333,0.82,0.56,0.4,0.833333333,0.777777778,1,0.833333333,0.722222222,0,3,3,1,80,40,75,Civil VII,8,B+
201,A-,0.85,2,0.725,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,0,1,0.96,0.94,0.75,0.86,0.42,0.38,0.944444444,0.888888889,0.777777778,0.944444444,0.888888889,0,2,2,1,96,48,80,Civil VII,9,A-
202,B+,0.805,3,0.888888889,0,0.777777778,0.378378378,0.211538462,0.342105263,0.663043478,1,0.666666667,0.92,0.86,0.708333333,0.76,0.4,0.4,0.888888889,0.833333333,0.833333333,1,0.777777778,0.888888889,3,3,1,92,46,75,Civil VII,8,B+
203,C+,0.5575,6,0.875,1,0.611111111,0.594594595,0.673076923,0.394736842,0.869565217,1,0.666666667,0.88,0.88,0.5,0.7,0.38,0.38,0.722222222,0.611111111,0.666666667,0.611111111,0.666666667,0,6,6,1,88,44,60,Civil VII,5,C+
204,A-,0.92,2,0.722222222,0,0.833333333,0.594594595,0.673076923,0.394736842,0.869565217,1,0.666666667,0.88,0.92,0.833333333,0.88,0.52,0.4,1,0.944444444,1,0.833333333,0.944444444,0.944444444,2,2,1,88,44,80,Civil VII,9,A-
205,B-,0.67,5,0.208333333,0,0.583333333,0.216216216,0.230769231,0.657894737,0.673913043,1,1,0.84,0.84,0.541666667,0.72,0.4,0.4,0.777777778,0.777777778,0.611111111,0.833333333,0.722222222,0.944444444,5,5,1,84,42,65,Civil VII,6,B-
206,A-,0.8625,2,0.604166667,0,0.611111111,0.216216216,0.230769231,0.657894737,0.673913043,1,1,0.92,0.88,0.833333333,0.92,0.5,0.4,0.888888889,0.888888889,0.833333333,0.944444444,0.944444444,0,2,2,1,92,46,80,Civil VII,9,A-
207,B+,0.805,3,0.6,0,0.638888889,0.567567568,0.288461538,0.789473684,0.673913043,1,1,0.78,0.72,0.791666667,0.9,0.52,0.36,0.888888889,0.833333333,0.833333333,0.888888889,0.833333333,0.944444444,3,3,1,78,39,75,Civil VII,8,B+
208,A-,0.8925,2,0.852777778,0,0.527777778,0.243243243,0.384615385,0.526315789,0.673913043,0,0.666666667,0.92,0.9,0.791666667,0.8,0.5,0.36,0.944444444,0.944444444,0.944444444,0.888888889,0.888888889,0.944444444,2,2,1,92,46,80,Civil VII,9,A-
209,B+,0.805,3,0.857777778,0,0.694444444,0.72972973,0.769230769,0.868421053,0.869565217,0.666666667,1,0.7,0.84,0.75,0.92,0.54,0.38,0.888888889,1,0.833333333,0.888888889,0.666666667,0,3,3,1,70,35,75,Civil VII,8,B+
210,A,0.9875,1,0.722222222,1,0.805555556,0.540540541,0.576923077,0.5,0.826086957,1,1,0.9,0.92,0.875,0.98,0.58,0.36,1,1,1,1,1,0.944444444,1,1,1,90,45,85,Civil VII,10,A
211,A-,0.92,2,0.811111111,0,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.88,0.92,0.791666667,0.92,0.52,0.38,1,0.944444444,0.944444444,0.944444444,0.888888889,0.944444444,2,2,1,88,44,80,Civil VII,9,A-
212,A,0.9425,1,0.416666667,1,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.8,0.86,0.916666667,1,0.58,0.38,1,1,1,1,0.888888889,0,1,1,1,80,40,85,Civil VII,10,A
213,B-,0.655,5,0.816666667,0,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.84,0.8,0.541666667,0.76,0.38,0.38,0.777777778,0.833333333,0.722222222,0.666666667,0.666666667,0,5,5,1,84,42,65,Civil VII,6,B-
