GPAX,GPA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
0,0,0.666666667,0,0.777777778,0.621621622,0.826923077,0.263157895,0.717391304,0.333333333,0.666666667,0.68,0.76,0.666666667,0.72,0.92,0.8,0.722222222,0.777777778,0,1,0,0,0,0,0,68,34,0,Civil I,0,F
0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.7,0.72,0.625,0.64,0.88,0.64,0,0.722222222,0,0.944444444,0,0,0,0,0,70,35,0,Civil I,0,F
0,0,0.75,1,0.805555556,0.459459459,0.769230769,0.473684211,0.739130435,0.333333333,0.666666667,0.7,0.72,0.791666667,0.64,0.92,0.7,0,0,0,0.944444444,0,0,0,0,0,70,35,0,Civil I,0,F
0,0,0.333333333,0,0.555555556,0.27027027,0.480769231,0.263157895,0,1,0.666666667,0.8,0.78,0.666666667,0.74,0.82,0.84,0,0.833333333,0.666666667,0.944444444,0.777777778,0,0,0,0,80,40,0,Civil I,0,F
0,0,0.729166667,0,0.722222222,0.810810811,0.576923077,0.657894737,0.891304348,1,0.666666667,0.76,0.72,0.875,0.7,0.9,0.88,0,0.722222222,0,1,0.944444444,0.666666667,0,0,0,76,38,0,Civil I,0,F
0,0,0.819444444,1,0.777777778,0.594594595,0.788461538,0.631578947,0.934782609,0,0.333333333,0.8,0.72,0.666666667,0.66,0.86,0.72,0,0.722222222,0.666666667,0.888888889,0,0,0,0,0,80,40,0,Civil I,0,F
0,0,0.669444444,1,0.944444444,0.810810811,0.826923077,0.552631579,0,0,0.333333333,0.88,0.8,0.666666667,0.74,0.84,0.8,0.833333333,0.833333333,0,0.888888889,0.833333333,0.944444444,0,0,0,88,44,0,Civil I,0,F
0,0,0.75,1,0.444444444,0.027027027,0.442307692,0.157894737,0,0.333333333,0.666666667,0.64,0.8,0.833333333,0.78,0.72,0.92,0,0.833333333,0.777777778,0,0.833333333,0,0,0,0,64,32,0,Civil I,0,F
0,0,0.736111111,1,0.361111111,0.27027027,0.365384615,0,0.543478261,0.666666667,1,0.78,0.66,0.75,0.68,0.8,0.64,0,0,0,0,0,0.666666667,0,0,0,78,39,0,Civil I,0,F
0,0,0.75,1,0.888888889,0.810810811,0.769230769,0.605263158,0,0.333333333,0.666666667,0.5,0.66,0.666666667,0.7,0.96,0.64,0,0,0,1,0,0.666666667,0,0,0,50,25,0,Civil I,0,F
0,0,0.840277778,1,0.472222222,0.27027027,0.480769231,0.263157895,0.652173913,0,0.666666667,0.5,0.6,0.541666667,0.76,0.82,0.8,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
0,0,0.819444444,1,0.777777778,0.72972973,0.673076923,0.526315789,0.782608696,0.666666667,0.666666667,0.7,0.64,0.791666667,0.7,0.9,0.64,0,0,0,0.777777778,0,0,0,0,0,70,35,0,Civil I,0,F
0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.5,0.64,0.583333333,0.66,0.76,0.76,0.666666667,0.666666667,0,0,0.777777778,0,0,0,0,50,25,0,Civil I,0,F
0,0,0.722222222,1,0.527777778,0.135135135,0.480769231,0.763157895,0.815217391,0,1,0.9,0.8,0.708333333,0.76,0.78,0.76,0.722222222,0.888888889,0,0.666666667,0.722222222,0.722222222,0,0,0,90,45,0,Civil I,0,F
0,0,0.629722222,0,0.916666667,0.945945946,0.923076923,0.973684211,0.836956522,0.666666667,1,0.5,0.6,0.666666667,0.7,0.74,0.64,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
0,0,0.713888889,0,0.944444444,0.891891892,0.903846154,0.552631579,0.891304348,0.333333333,0.666666667,0.5,0.6,0.541666667,0.7,0.9,0.64,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.98,0.7,0.875,0.78,0.9,0.88,0.944444444,0.888888889,0,0,0.888888889,0.722222222,0,0,0,98,49,0,Civil I,0,F
0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.9,0.8,0.708333333,0.74,0.88,0.78,0.833333333,0.833333333,0.833333333,0.777777778,0,0.833333333,0,0,0,90,45,0,Civil I,0,F
0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.54,0.7,0.708333333,0.74,0.86,0.72,0,0.833333333,0.722222222,0.777777778,0.722222222,0.833333333,0,0,0,54,27,0,Civil I,0,F
0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.5,0.78,0.416666667,0.72,0.88,0.88,0,0.722222222,0,0.888888889,0.833333333,0.833333333,0,0,0,50,25,0,Civil I,0,F
0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.8,0.8,0.416666667,0.7,0.78,0.64,0.777777778,0.777777778,0,0,0,0.777777778,0,0,0,80,40,0,Civil I,0,F
0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.58,0.86,0.458333333,0.86,0.76,0.84,1,0.666666667,0.722222222,0,0,1,0,0,0,58,29,0,Civil III,0,F
0,0,0.133333333,0,0.388888889,0.405405405,0.576923077,0.131578947,0,0,0,0.62,0.82,0.375,0.84,0.92,0.84,1,0.666666667,0.722222222,0,0,1,0,0,0,62,31,0,Civil III,0,F
4,2.81,0.701388889,1,0.722222222,0.351351351,0.480769231,0.815789474,0.815217391,0.333333333,0.666666667,0.74,0.86,0.541666667,0.78,0.98,0.84,0.777777778,0.777777778,0.833333333,0.833333333,0.611111111,1,4,4,1,74,37,70,Civil III,7,B
0,0,0.611111111,0,0.666666667,0.405405405,0.634615385,0.394736842,0.782608696,0.333333333,0.666666667,0.92,0.9,0.916666667,0.94,0.98,0.72,0.944444444,0.944444444,0.777777778,0,0,1,0,0,0,92,46,0,Civil III,0,F
2,3.41,0.75,0,0.805555556,0.702702703,0.826923077,0.552631579,0.815217391,0,0.666666667,0.86,0.92,0.916666667,0.86,0.98,0.84,1,0.944444444,0.944444444,0.777777778,0.777777778,0.888888889,2,2,1,86,43,80,Civil III,9,A-
2,3.6,0.583333333,0,0.777777778,0.918918919,0.884615385,0.815789474,0.75,0,0,0.9,0.78,0.75,0.86,0.98,0.76,1,0.777777778,0.888888889,1,0.888888889,1,2,2,1,90,45,80,Civil III,9,A-
5,2.32,0.583333333,1,0.555555556,0.405405405,0.576923077,0.263157895,0.652173913,0.333333333,0.333333333,0.62,0.74,0.25,0.72,0.68,0.78,0.944444444,0.666666667,0.666666667,0.666666667,0.611111111,1,5,5,1,62,31,65,Civil III,6,B-
0,0,0.666666667,1,0.75,0.702702703,0.769230769,0.473684211,0.760869565,0.333333333,0.666666667,0.6,0.72,0.291666667,0.72,0.86,0.8,0,0.611111111,0,0.722222222,0,1,0,0,0,60,30,0,Civil III,0,F
0,0,0.652777778,0,0.777777778,0.540540541,0.634615385,0.552631579,0.804347826,0,0.666666667,0.88,0.82,0.583333333,0.74,0.98,0.88,0.833333333,0.666666667,0.777777778,0,0,1,0,0,0,88,44,0,Civil III,0,F
0,0,0.722222222,1,0.666666667,0.540540541,0.692307692,0.342105263,0.77173913,0.666666667,0.333333333,0.64,0.76,0.583333333,0.84,0.98,0.88,0.777777778,0.833333333,0,0.833333333,0.722222222,1,0,0,0,64,32,0,Civil III,0,F
0,0,0.744444444,1,0.666666667,0.540540541,0.711538462,0.342105263,0.717391304,0.333333333,0.666666667,0.9,0.84,0.625,0.74,0.92,0.92,0.833333333,0.611111111,0.722222222,0,0,1,0,0,0,90,45,0,Civil III,0,F
0,0,0.861111111,1,0.777777778,0.810810811,0.653846154,0.710526316,0,0.666666667,0.666666667,0.84,0.82,0.583333333,0.84,0.86,0.92,0.777777778,0.611111111,0,0,0,0.888888889,0,0,0,84,42,0,Civil III,0,F
5,2.45,0.861111111,0,0.777777778,0.810810811,0.653846154,0.710526316,0,0.333333333,0.666666667,0.84,0.82,0.583333333,0.84,0.86,0.92,0.666666667,0.722222222,0.722222222,0.777777778,0.666666667,1,5,5,1,72,36,65,Civil III,6,B-
0,0,0.861111111,1,0.777777778,0.810810811,0.653846154,0.710526316,0,0,0.666666667,0.84,0.82,0.583333333,0.84,0.86,0.92,0.777777778,0.777777778,0,0,0,1,0,0,0,90,45,0,Civil III,0,F
0,0,0.305555556,0,0.305555556,0,0.442307692,0,0.586956522,0,0.333333333,0.8,0.82,0.583333333,0.74,0.92,0.72,0.777777778,0.611111111,0,0,0,1,0,0,0,80,40,0,Civil III,0,F
1,3.89,0.344444444,0,0.861111111,0.972972973,0.884615385,0.815789474,0.858695652,0.333333333,0.333333333,1,1,0.916666667,0.94,0.98,0.92,1,0.944444444,1,1,0.944444444,0.944444444,1,1,1,100,50,85,Civil III,10,A
3,3.2,0.75,1,0.833333333,0.702702703,0.903846154,0.552631579,0,0.333333333,0.666666667,0.74,0.82,0.833333333,0.86,0.86,0.72,0.888888889,0.888888889,0.833333333,0.944444444,0.666666667,1,3,3,1,74,37,75,Civil III,8,B+
4,2.78,0.652777778,0,0.75,0.621621622,0.442307692,0.342105263,0,1,0.666666667,0.72,0.84,0.75,0.88,0.86,0.78,0.944444444,0.666666667,0.722222222,0.722222222,0.777777778,1,4,4,1,72,36,70,Civil III,7,B
0,0,0.866666667,1,0.944444444,0.810810811,0.884615385,0.552631579,0,1,0,0.9,0.76,0.75,0.92,0.98,0.72,0.777777778,0.722222222,0,0.944444444,0.777777778,1,0,0,0,90,45,0,Civil III,0,F
3,3.08,0.7,1,0.833333333,0.621621622,0.692307692,0.763157895,0.815217391,0.333333333,0.666666667,0.66,0.9,0.666666667,0.84,0.92,0.76,0.722222222,0.888888889,0.944444444,0.944444444,0.722222222,1,3,3,1,66,33,75,Civil III,8,B+
0,0,0.7,0,0.833333333,0.621621622,0.692307692,0.763157895,0.815217391,0.666666667,0.666666667,0.66,0.9,0.666666667,0.84,0.92,0.96,0.944444444,0.833333333,0.944444444,0.888888889,0,1,0,0,0,84,42,0,Civil III,0,F
4,2.95,0.7,1,0.833333333,0.621621622,0.692307692,0.763157895,0.815217391,0,0.666666667,0.66,0.9,0.666666667,0.84,0.92,0.88,0.888888889,0.777777778,0.777777778,0.944444444,0.611111111,1,4,4,1,76,38,70,Civil III,7,B
2,3.37,0.673611111,0,0.611111111,0.810810811,0.442307692,0.868421053,0.77173913,0.666666667,1,0.78,0.82,0.833333333,0.9,0.92,0.88,0.833333333,0.944444444,0.888888889,1,0.777777778,1,2,2,1,78,39,80,Civil III,9,A-
0,0,0.661111111,1,0.777777778,0.540540541,0.711538462,0.526315789,0.815217391,0.666666667,0.333333333,0.54,0.7,0.375,0.84,0.86,0.82,0.666666667,0.944444444,0,0.722222222,0.666666667,1,0,0,0,54,27,0,Civil III,0,F
2,3.44,0.864722222,1,0.861111111,0.567567568,0.884615385,0.552631579,0.815217391,0.666666667,0.666666667,0.8,0.9,0.791666667,0.92,0.98,0.78,0.944444444,0.833333333,1,0.833333333,0.833333333,1,2,2,1,80,40,80,Civil III,9,A-
2,3.39,0.780555556,0,0.861111111,0.810810811,0.769230769,0.605263158,0.75,1,1,1,0.88,0.75,0.92,0.92,0.8,0.888888889,1,0.833333333,0.777777778,0.888888889,1,2,2,1,100,50,80,Civil III,9,A-
0,0,0.830555556,1,0.75,0.702702703,0.769230769,0.447368421,0.75,0,0,0.8,0.78,0.583333333,0.86,0.86,0.86,0.666666667,0.833333333,0,0,0,1,0,0,0,80,40,0,Civil III,0,F
0,0,0.761111111,1,0.666666667,0.540540541,0.576923077,0.447368421,0.847826087,0.666666667,0.666666667,0.8,0.76,0.666666667,0.8,0.86,0.8,0.722222222,0.722222222,0,0,0,0.944444444,0,0,0,80,40,0,Civil III,0,F
2,3.53,0.875,1,0.944444444,0.513513514,0.711538462,0.789473684,0.858695652,1,0.666666667,0.9,0.9,0.625,0.92,0.98,0.72,0.833333333,1,0.944444444,1,0.833333333,1,2,2,1,90,45,80,Civil III,9,A-
3,3.1,0.855555556,1,0.944444444,0.810810811,0.903846154,0.605263158,0.880434783,0.666666667,0.666666667,0.86,0.82,0.791666667,0.88,0.98,0.74,0.666666667,0.888888889,0.777777778,1,0.777777778,1,3,3,1,86,43,75,Civil III,8,B+
0,0,0.722222222,1,0.555555556,0.513513514,0.673076923,0.263157895,0.706521739,0.333333333,0.666666667,0.88,0.86,0.666666667,0.92,0.92,0.8,0.722222222,0.888888889,0,0.944444444,0,1,0,0,0,88,44,0,Civil III,0,F
0,0,0.866666667,1,0.777777778,0.72972973,0.807692308,0.447368421,0.706521739,0.666666667,0.333333333,0.76,0.9,0.875,0.86,0.86,0.8,0.944444444,0.833333333,0,0.722222222,0,1,0,0,0,76,38,0,Civil III,0,F
2,3.36,0.866666667,1,0.777777778,0.72972973,0.807692308,0.447368421,0.706521739,1,0.666666667,0.76,0.9,0.875,0.86,0.86,0.74,1,0.666666667,0.777777778,1,0.833333333,1,2,2,1,94,47,80,Civil III,9,A-
2,3.65,0.866666667,1,0.777777778,0.72972973,0.807692308,0.447368421,0.706521739,0.666666667,1,0.76,0.9,0.875,0.86,0.86,0.78,1,0.833333333,1,1,0.777777778,1,2,2,1,92,46,80,Civil III,9,A-
0,0,0.688888889,1,0.944444444,0.621621622,0.884615385,0.552631579,0.782608696,0,0.666666667,0.86,0.8,0.833333333,0.98,0.86,0.8,0,0.777777778,0,0.722222222,0.888888889,0.944444444,0,0,0,86,43,0,Civil III,0,F
2,3.64,0.436111111,0,0.666666667,0.567567568,0.634615385,0.710526316,0.815217391,0.333333333,1,0.9,1,0.75,0.94,0.92,0.7,1,0.833333333,0.888888889,1,1,1,2,2,1,90,45,80,Civil III,9,A-
0,0,0.638888889,1,0.638888889,0.513513514,0.576923077,0.526315789,0.782608696,0.333333333,0,0.6,0.86,0.666666667,0.78,0.92,0.74,0,0.777777778,0,0,0,1,0,0,0,60,30,0,Civil III,0,F
0,0,0.75,1,0.611111111,0.135135135,0.5,0.342105263,0,0,0.333333333,0.68,0.9,0.541666667,0.8,0.92,0.74,0.888888889,0.666666667,0,0.888888889,0.722222222,1,0,0,0,68,34,0,Civil III,0,F
1,3.79,0.864722222,0,0.972222222,1,1,0.815789474,0.880434783,0.666666667,0,0.9,0.98,0.791666667,0.92,0.98,0.72,1,0.777777778,1,1,0.944444444,1,1,1,1,90,45,85,Civil III,10,A
3,3.25,0.916666667,1,0.916666667,0.918918919,0.903846154,0.684210526,0.847826087,0.666666667,0.666666667,0.9,0.8,0.583333333,0.9,0.92,0.7,0.722222222,0.722222222,0.944444444,1,0.833333333,1,3,3,1,90,45,75,Civil III,8,B+
1,4,0.69,1,0.833333333,0.810810811,0.519230769,0.789473684,0.923913043,0,0.666666667,0.92,0.94,0.75,0.9,0.92,0.78,1,1,1,1,1,1,1,1,1,92,46,90,Civil V,10,A
1,4,0.791666667,1,0.722222222,0.567567568,0.75,0.552631579,0.815217391,1,1,0.9,0.88,0.958333333,0.94,0.96,0.68,1,0.944444444,1,1,1,0.944444444,1,1,1,90,45,90,Civil V,10,A
1,3.97,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.94,0.92,0.625,0.92,0.94,0.72,0.888888889,1,1,0.944444444,0.888888889,1,1,1,1,94,47,85,Civil V,10,A
1,3.97,0.833333333,0,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,0.333333333,1,0.92,0.92,0.75,0.98,0.96,0.82,1,1,1,1,1,1,1,1,1,92,46,85,Civil V,10,A
1,3.97,0.861111111,0,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,0.333333333,1,0.98,0.86,0.416666667,0.94,0.76,0.8,0.944444444,0.833333333,0.944444444,0,0,0.944444444,1,1,1,98,49,85,Civil V,10,A
1,3.95,0.888888889,1,0.722222222,0.567567568,0.634615385,0.394736842,0.869565217,1,1,0.94,0.92,0.666666667,0.76,0.84,0.76,0.722222222,1,0.888888889,0.888888889,0.777777778,1,1,1,1,94,47,85,Civil V,10,A
1,3.93,0.527777778,0,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.76,0.5,0.083333333,0.46,0.62,0.82,0,0,0,0,0,1,1,1,1,76,38,85,Civil V,10,A
1,3.92,0.555555556,1,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.46,0.68,0.333333333,0.64,0.8,0.84,0,0,0,0.833333333,0.777777778,1,1,1,1,46,23,85,Civil V,10,A
1,3.9,0.583333333,1,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.64,0.78,0.583333333,0.8,0.82,0.8,0.722222222,0,0.722222222,0.777777778,0.833333333,0.888888889,1,1,1,64,32,85,Civil V,10,A
1,3.89,0.416666667,1,0.583333333,0.027027027,0.442307692,0.157894737,0,0.333333333,0.666666667,0.8,0.76,0.583333333,0.8,0.94,0.9,0.833333333,0.722222222,0.888888889,0.888888889,0,1,1,1,1,80,40,85,Civil V,10,A
1,3.87,0.294444444,0,0.5,0.486486486,0.365384615,0.447368421,0,0.333333333,0,0.8,0.78,0.541666667,0.78,0.8,0.78,0,0,0.777777778,0.777777778,0.722222222,0.944444444,1,1,1,80,40,85,Civil V,10,A
1,3.87,0.322222222,0,0.5,0.486486486,0.365384615,0.447368421,0,0.333333333,0,0.78,0.62,0.333333333,0.46,0.76,0.62,0,0,0.555555556,0.722222222,0.722222222,1,1,1,1,78,39,85,Civil V,10,A
1,3.85,0.35,0,0.5,0.486486486,0.365384615,0.447368421,0,0.333333333,0,0.46,0.68,0.333333333,0.7,0.74,0.76,0,0,0.555555556,0.722222222,0.722222222,1,1,1,1,46,23,85,Civil V,10,A
1,3.83,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.7,0.56,0.125,0.7,0.8,0.54,0,0,0,0,0,1,1,1,1,70,35,85,Civil V,10,A
1,3.79,0.75,1,0.805555556,0.675675676,0.480769231,0.657894737,0,0.333333333,0.666666667,0.7,0.92,0.583333333,0.8,0.92,0.8,0.833333333,0.944444444,0.833333333,1,0.833333333,1,1,1,1,70,35,85,Civil V,10,A
1,3.77,0.604166667,0,0.75,0.594594595,0.769230769,0.736842105,0.782608696,0,0.333333333,0.8,0.76,0.833333333,0.76,0.82,0.84,0.833333333,0.888888889,0.722222222,0.888888889,0.777777778,1,1,1,1,80,40,85,Civil V,10,A
1,3.74,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.76,0.56,0.416666667,0.66,0.74,0.66,0,0,0,0,0.777777778,1,1,1,1,76,38,85,Civil V,10,A
1,3.72,0.8125,1,0.416666667,0.054054054,0.673076923,0.184210526,0.793478261,1,1,0.66,0.92,0.916666667,0.96,0.96,0.98,0.944444444,1,1,1,1,1,1,1,1,66,33,85,Civil V,10,A
2,3.68,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.96,0.8,0.541666667,0.64,0.68,0.74,0,0,0,0,0,1,2,2,1,96,48,80,Civil V,9,A-
2,3.68,0.583333333,0,0.777777778,0.135135135,0.769230769,0.184210526,0.815217391,0.333333333,0.333333333,0.64,0.76,0.791666667,0.8,0.84,0.88,0.888888889,0.888888889,0.944444444,0.833333333,0.722222222,1,2,2,1,64,32,80,Civil V,9,A-
2,3.66,0.111111111,0,0.444444444,0.27027027,0.576923077,0.184210526,0.630434783,0,0.666666667,0.8,0.8,0.791666667,0.78,0.88,0.9,0,0.777777778,0.777777778,0.833333333,0.944444444,1,2,2,1,80,40,80,Civil V,9,A-
2,3.62,0.972222222,1,0.944444444,0.810810811,0.826923077,0.657894737,0.869565217,0.666666667,1,0.78,0.92,0.625,0.88,0.94,0.94,0.888888889,1,1,1,1,1,2,2,1,78,39,80,Civil V,9,A-
2,3.61,0.822222222,1,0.75,0.540540541,0.557692308,0.552631579,0.793478261,0.333333333,1,0.88,0.92,0.833333333,1,0.96,0.94,0.944444444,1,1,1,1,1,2,2,1,88,44,80,Civil V,9,A-
2,3.56,0.638888889,1,0.833333333,0.837837838,0.711538462,0.447368421,0.804347826,0.666666667,0.333333333,1,0.78,0.708333333,0.7,0.8,0.8,0.722222222,0.722222222,0.777777778,0.722222222,0.777777778,1,2,2,1,100,50,80,Civil V,9,A-
