"","GPA","SLC","School","Plus","Physics","Math","Chemistry","Bio","Parent1","Parent2","X1","X2","X3","X4","X5","X6","X111","X222","X333","X444","X555","X666"
"15",0.76,0.75,1,0.805555555555556,0.675675675675676,0.480769230769231,0.657894736842105,0,0.333333333333333,0.666666666666667,0.84,0.82,0.583333333333333,0.72,0.9,0.74,0.722222222222222,0.944444444444444,0.833333333333333,0.833333333333333,0.777777777777778,0.888888888888889
"16",0.8475,0.604166666666667,0,0.75,0.594594594594595,0.769230769230769,0.736842105263158,0.782608695652174,0,0.333333333333333,1,0.86,0.916666666666667,0.76,0.92,0.78,0.944444444444444,0.944444444444444,0.777777777777778,0.777777777777778,0.888888888888889,0.944444444444444
"17",0.8075,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.78,0.84,0.833333333333333,0.72,0.82,0.64,0.888888888888889,1,1,0.833333333333333,0.666666666666667,0.833333333333333
"18",0.79,0.8125,1,0.416666666666667,0.0540540540540541,0.673076923076923,0.184210526315789,0.793478260869565,1,1,0.76,0.84,0.75,0.76,0.84,0.82,0.722222222222222,1,1,0.888888888888889,0.777777777777778,0.777777777777778
"19",0.7975,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.92,0.84,0.75,0.8,0.9,0.78,0.833333333333333,0.944444444444444,0.944444444444444,0.833333333333333,0.833333333333333,0.777777777777778
"20",0.9775,0.583333333333333,0,0.777777777777778,0.135135135135135,0.769230769230769,0.184210526315789,0.815217391304348,0.333333333333333,0.333333333333333,0.9,0.82,0.666666666666667,0.9,0.92,0.88,0.944444444444444,1,1,0.944444444444444,1,1
"21",0.805,0.111111111111111,0,0.444444444444444,0.27027027027027,0.576923076923077,0.184210526315789,0.630434782608696,0,0.666666666666667,0.92,0.86,0.833333333333333,0.82,0.92,0.78,0.722222222222222,0.944444444444444,0.722222222222222,0.944444444444444,0.888888888888889,0.944444444444444
"22",0.895,0.972222222222222,1,0.944444444444444,0.810810810810811,0.826923076923077,0.657894736842105,0.869565217391304,0.666666666666667,1,0.84,0.82,0.541666666666667,0.82,0.9,0.82,0.833333333333333,0.944444444444444,1,0.833333333333333,0.944444444444444,1
"23",0.7525,0.822222222222222,1,0.75,0.540540540540541,0.557692307692308,0.552631578947368,0.793478260869565,0.333333333333333,1,0.96,0.9,0.833333333333333,0.8,0.86,0.84,0.888888888888889,0.833333333333333,0.722222222222222,0.888888888888889,0.833333333333333,0.833333333333333
"24",0.8775,0.638888888888889,1,0.833333333333333,0.837837837837838,0.711538461538462,0.447368421052632,0.804347826086957,0.666666666666667,0.333333333333333,0.94,0.96,0.375,0.82,0.9,0.76,0.888888888888889,1,1,0.888888888888889,0.777777777777778,0.944444444444444
"25",0,0.361111111111111,0,0.333333333333333,0.27027027027027,0.480769230769231,0.131578947368421,0.608695652173913,0.333333333333333,0.666666666666667,0.5,0.72,0.791666666666667,0.7,0.9,0.76,0,0,0,0,0,0
"26",0,0.6,1,0.611111111111111,0.27027027027027,0.480769230769231,0.526315789473684,0.83695652173913,0.333333333333333,0.666666666666667,0.88,0.84,0.75,0.8,0.92,0.8,0.611111111111111,0.722222222222222,0,0.777777777777778,0.777777777777778,0.722222222222222
"27",0,0.683333333333333,1,0.388888888888889,0.540540540540541,0.461538461538462,0.5,0.543478260869565,0,0.333333333333333,0.76,0.78,0.583333333333333,0.86,0.98,0.82,0.777777777777778,0.833333333333333,0,1,0.833333333333333,0.888888888888889
"28",0,0.666666666666667,0,0.777777777777778,0.621621621621622,0.826923076923077,0.263157894736842,0.717391304347826,0.333333333333333,0.666666666666667,0.68,0.76,0.666666666666667,0.72,0.92,0.8,0.722222222222222,0.777777777777778,0,1,0,0
"29",0,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.7,0.72,0.625,0.64,0.88,0.64,0,0.722222222222222,0,0.944444444444444,0,0
"30",0,0.75,1,0.805555555555556,0.459459459459459,0.769230769230769,0.473684210526316,0.739130434782609,0.333333333333333,0.666666666666667,0.7,0.72,0.791666666666667,0.64,0.92,0.7,0,0,0,0.944444444444444,0,0
"31",0,0.333333333333333,0,0.555555555555556,0.27027027027027,0.480769230769231,0.263157894736842,0,1,0.666666666666667,0.8,0.78,0.666666666666667,0.74,0.82,0.84,0,0.833333333333333,0.666666666666667,0.944444444444444,0.777777777777778,0
"32",0,0.729166666666667,0,0.722222222222222,0.810810810810811,0.576923076923077,0.657894736842105,0.891304347826087,1,0.666666666666667,0.76,0.72,0.875,0.7,0.9,0.88,0,0.722222222222222,0,1,0.944444444444444,0.666666666666667
"33",0,0.819444444444444,1,0.777777777777778,0.594594594594595,0.788461538461538,0.631578947368421,0.934782608695652,0,0.333333333333333,0.8,0.72,0.666666666666667,0.66,0.86,0.72,0,0.722222222222222,0.666666666666667,0.888888888888889,0,0
"34",0,0.669444444444444,1,0.944444444444444,0.810810810810811,0.826923076923077,0.552631578947368,0,0,0.333333333333333,0.88,0.8,0.666666666666667,0.74,0.84,0.8,0.833333333333333,0.833333333333333,0,0.888888888888889,0.833333333333333,0.944444444444444
"35",0,0.75,1,0.444444444444444,0.027027027027027,0.442307692307692,0.157894736842105,0,0.333333333333333,0.666666666666667,0.64,0.8,0.833333333333333,0.78,0.72,0.92,0,0.833333333333333,0.777777777777778,0,0.833333333333333,0
"36",0,0.736111111111111,1,0.361111111111111,0.27027027027027,0.365384615384615,0,0.543478260869565,0.666666666666667,1,0.78,0.66,0.75,0.68,0.8,0.64,0,0,0,0,0,0.666666666666667
"37",0,0.75,1,0.888888888888889,0.810810810810811,0.769230769230769,0.605263157894737,0,0.333333333333333,0.666666666666667,0.5,0.66,0.666666666666667,0.7,0.96,0.64,0,0,0,1,0,0.666666666666667
"38",0,0.840277777777778,1,0.472222222222222,0.27027027027027,0.480769230769231,0.263157894736842,0.652173913043478,0,0.666666666666667,0.5,0.6,0.541666666666667,0.76,0.82,0.8,0,0,0,0,0,0
"39",0,0.819444444444444,1,0.777777777777778,0.72972972972973,0.673076923076923,0.526315789473684,0.782608695652174,0.666666666666667,0.666666666666667,0.7,0.64,0.791666666666667,0.7,0.9,0.64,0,0,0,0.777777777777778,0,0
"40",0,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.5,0.64,0.583333333333333,0.66,0.76,0.76,0.666666666666667,0.666666666666667,0,0,0.777777777777778,0
"41",0,0.722222222222222,1,0.527777777777778,0.135135135135135,0.480769230769231,0.763157894736842,0.815217391304348,0,1,0.9,0.8,0.708333333333333,0.76,0.78,0.76,0.722222222222222,0.888888888888889,0,0.666666666666667,0.722222222222222,0.722222222222222
"42",0,0.629722222222222,0,0.916666666666667,0.945945945945946,0.923076923076923,0.973684210526316,0.83695652173913,0.666666666666667,1,0.5,0.6,0.666666666666667,0.7,0.74,0.64,0,0,0,0,0,0
"43",0,0.713888888888889,0,0.944444444444444,0.891891891891892,0.903846153846154,0.552631578947368,0.891304347826087,0.333333333333333,0.666666666666667,0.5,0.6,0.541666666666667,0.7,0.9,0.64,0,0,0,0,0,0
"44",0,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.98,0.7,0.875,0.78,0.9,0.88,0.944444444444444,0.888888888888889,0,0,0.888888888888889,0.722222222222222
"45",0,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.9,0.8,0.708333333333333,0.74,0.88,0.78,0.833333333333333,0.833333333333333,0.833333333333333,0.777777777777778,0,0.833333333333333
"46",0,0.583333333333333,1,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.54,0.7,0.708333333333333,0.74,0.86,0.72,0,0.833333333333333,0.722222222222222,0.777777777777778,0.722222222222222,0.833333333333333
"47",0,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.5,0.78,0.416666666666667,0.72,0.88,0.88,0,0.722222222222222,0,0.888888888888889,0.833333333333333,0.833333333333333
"48",0,0.583333333333333,1,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.8,0.8,0.416666666666667,0.7,0.78,0.64,0.777777777777778,0.777777777777778,0,0,0,0.777777777777778
"49",0,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.58,0.86,0.458333333333333,0.86,0.76,0.84,1,0.666666666666667,0.722222222222222,0,0,1
"50",0,0.133333333333333,0,0.388888888888889,0.405405405405405,0.576923076923077,0.131578947368421,0,0,0,0.62,0.82,0.375,0.84,0.92,0.84,1,0.666666666666667,0.722222222222222,0,0,1
"51",0.7025,0.701388888888889,1,0.722222222222222,0.351351351351351,0.480769230769231,0.815789473684211,0.815217391304348,0.333333333333333,0.666666666666667,0.74,0.86,0.541666666666667,0.78,0.98,0.84,0.777777777777778,0.777777777777778,0.833333333333333,0.833333333333333,0.611111111111111,1
"52",0,0.611111111111111,0,0.666666666666667,0.405405405405405,0.634615384615385,0.394736842105263,0.782608695652174,0.333333333333333,0.666666666666667,0.92,0.9,0.916666666666667,0.94,0.98,0.72,0.944444444444444,0.944444444444444,0.777777777777778,0,0,1
"53",0.8525,0.75,0,0.805555555555556,0.702702702702703,0.826923076923077,0.552631578947368,0.815217391304348,0,0.666666666666667,0.86,0.92,0.916666666666667,0.86,0.98,0.84,1,0.944444444444444,0.944444444444444,0.777777777777778,0.777777777777778,0.888888888888889
"54",0.9,0.583333333333333,0,0.777777777777778,0.918918918918919,0.884615384615385,0.815789473684211,0.75,0,0,0.9,0.78,0.75,0.86,0.98,0.76,1,0.777777777777778,0.888888888888889,1,0.888888888888889,1
"55",0.58,0.583333333333333,1,0.555555555555556,0.405405405405405,0.576923076923077,0.263157894736842,0.652173913043478,0.333333333333333,0.333333333333333,0.62,0.74,0.25,0.72,0.68,0.78,0.944444444444444,0.666666666666667,0.666666666666667,0.666666666666667,0.611111111111111,1
